OrderID,CustomerName,Age,Gender,OrderAmount,OrderDate,Country,Email,PaymentMethod,Quantity,ProductCategory
1094,steve jobs,,M,10000,04/10/2024,U.S.A,priya@gmail..com,card ,1,Cloths
1026,John Doe,40,FEMALE,999,04-07-2024,U.S.A,rakesh@gmail.com,Card,50,clothes
1094,John Doe,30,male,,15/07/2024,UK,anu@gmail,upi,1,ELECTRONICS
1036, Priya,30,female,200,,UK,rakesh@gmail.com,CARD,5,CLOTH 
1088, Priya,40,FEMALE,450,10-Sep-2024,INDIA ,sanjay@gmail.com,Upi ,3,Cloths
1092, Priya,30,female,10000,01/01/2024,India,priya@gmail..com,card ,two,Cloths
1080, Sanjay,25,female,"1,500",09-03-2024,U.S.A,anu@gmail..com,Card,50,clothes
1057,steve jobs,, ,"1,500",07/03/2024,usa,johndoe@gmail..com,upi,3,ELECTRONICS
1093,LIly ,35, ,1500,2024-05-24,UK,mohit@gmail.com,Card,5,Electronics
1077,John Doe,35,FEMALE,200,,UK,rakesh@gmail.com,upi,two,Cloths
1001,Alex  ,30,M,1500,04-26-2024,India,rakesh@gmail.com,CARD,4,clothes
1088,Alex  ,30, ,,29/07/2024, united kingdom ,lily@gmail..com,card ,4,CLOTH 
1003,John Doe,-5,Male,₹2000,26-Oct-2024,UK,mohit@gmail..com,Card,50,clothes
1043, Sanjay,-5,female,5000,07-01-2024,United States,rakesh@gmail..com,cash,two,ELECTRONICS
1068,Alex  ,30,F,,2024-10-10,usa,johndoe@gmail,cash,5,CLOTH 
1057,Anu,40,FEMALE,10000,21-May-2024,India,mohit@gmail.com,cash,3,CLOTH 
1098,mohit ,45,female,₹2000,02/10/2024,U.S.A,lily@gmail,cash,two,Cloths
1062,mohit ,30,female,5000,01-06-2024,India,stevejobs@gmail..com,Upi ,5,Cloths
1008, Priya,thirty, ,450,14/10/2024,india,mohit@gmail.com,Card,2,clothes
1063,John Doe,45, ,5000,04-Apr-2024, united kingdom ,stevejobs@gmail.com,upi,4,CLOTH 
1040,John Doe,,Male,5000,,usa,johndoe@gmail,cash,50,Cloths
1018,   rakesh,25,male,10000,2024-05-04,INDIA ,lily@gmail..com,Card,1,ELECTRONICS
1002,LIly ,40,FEMALE,999,2024-09-11, united kingdom ,johndoe@gmail.com,CARD,1,ELECTRONICS
1014, Priya,-5, ,450,,U.S.A,rakesh@gmail,Upi ,4,ELECTRONICS
1037, Sanjay,thirty,M,5000,09/05/2024,U.S.A,stevejobs@gmail.com,Cash,50,clothes
1013,mohit ,45,FEMALE,1500,04-30-2024,INDIA ,johndoe@gmail.com,upi,,Cloths
1014,mohit ,40,FEMALE,₹2000,08-15-2024,INDIA ,lily@gmail,upi,2,Electronics
1043,Alex  ,,FEMALE,200,2024-08-14,india,priya@gmail.com,UPI ,,clothes
1097,mohit ,35,female,450,2024-04-05,U.S.A,sanjay@gmail..com,Cash,two,electronics
1079,Anu,35,female,200,2024-10-26,United States,rakesh@gmail.com,card ,3,clothes
1077,   rakesh,25,Male,200,16/09/2024,UK,mohit@gmail.com,upi,4,Cloths
1089,   rakesh,45,Male,10000,03-15-2024,U.S.A,priya@gmail,cash,5,Cloths
1097,Alex  ,-5,FEMALE,₹2000,23-Jun-2024,usa,priya@gmail..com,Cash,50,Electronics
1073,mohit ,25,F,450,11-Sep-2024,INDIA ,sanjay@gmail..com,Card,2,ELECTRONICS
1053,mohit ,35,female,200,13/01/2024,india,priya@gmail,cash,5,CLOTH 
1045,mohit ,-5,female,450,05-30-2024, united kingdom ,priya@gmail,card ,50,ELECTRONICS
1068, Sanjay,25,female,450,2024-04-25,United States,mohit@gmail..com,Cash,5,ELECTRONICS
1080,   rakesh,-5, ,,04-25-2024,U.S.A,anu@gmail.com,Upi ,3,ELECTRONICS
1095,mohit ,35,Male,10000,01-Jun-2024,India,lily@gmail.com,CARD,two,Cloths
1085,mohit ,30,FEMALE,450,04-19-2024,United States,anu@gmail.com,card ,5,Electronics
1063, Priya,-5, ,₹2000,23-Apr-2024,india,sanjay@gmail.com,UPI ,50,ELECTRONICS
1050,Alex  ,40,M,₹2000,03-08-2024,U.S.A,stevejobs@gmail,Upi ,1,ELECTRONICS
1098,LIly ,30,FEMALE,999,2024-03-22,india,rakesh@gmail.com,UPI ,two,Electronics
1073,LIly ,30,female,,02/04/2024,United States,rakesh@gmail..com,CARD,3,ELECTRONICS
